Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3204,6,Computer Vision,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3299,6,Capstone Project,0-0-6,3,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS32XX,6,DE1,3-0-0,3,DE1,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS41XX,7,DE1I,3-0-0,3,DE2,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS41XX,7,DE1II,3-0-0,3,DE3,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS4109,7,IDE - III (Data Analysis and Visualization),3-0-0,3,IDE3,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,HS41PQ,7,HSS Elective II,3-0-0,3,HS2,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS4198,7,Summer Internship*/ Summer Project,0-0-12,3,SI/SP,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS4199,7,Project   I,0-0-12,6,P1,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS1101,1,Foundations of Programming ,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,HS1101,1,English for Professionals,2-0-1,2.5,HS,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS1201,2,Data Structure,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,IK1101,2,Indian Knowledge System(IKS),3-0-0,3,IKS,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2101,3,Algorithm,3-0-3,4.5,Core,1.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2102,3,Digital Logic and Computer Organization,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2103,3,Artificial Intelligence Concepts,2-0-2,3,Core,0.0
