1368,Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor,Comments,,,1368,Example,Course Code,Course Name,LTP,Credit,Type,offered_for_minor
88,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3190,5,IDE2,3-0-0,3,IDE2,0,,,,,,,,,,,
89,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3201,6,Design of Steel Structures,3-1-0,4,Core,0,,,,,,,,,,,
90,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3202,6,Infrastructure Drawing and Estimation ,1-2-0,3,Core,1,,,,,,,,,,,
91,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3203,6,Construction Planning & Management,3-0-0,3,Core,0,,,,,,,,,,,
92,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3204,6,Environmental Engineering - 2,3-1-0,4,Core,0,,,,,,,,,,,
93,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3205,6,Water Resource Engineering - 2,3-0-2,4,Core,0,,,,,,,,,,,
94,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3206,6,Transportation Engineering - 2,3-0-0,3,Core,0,,,,,,,,,,,
95,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE41PQ,7,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
96,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE41PQ,7,DE2,3-0-0,3,DE2,0,,,,,,,,,,,
97,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE41PQ,7,IDE3,3-0-0,3,IDE3,0,,,,,,,,,,,
98,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,HS41PQ,7,HS2,3-0-0,3,HS2,0,,,,,,,,,,,
99,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE4198,7,Summer Internship,0-0-12,3,SI,0,,,,,,,,,,,
100,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE4199,7,Project - 1,0-0-12,6,P1,0,,,,,,,,,,,
101,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE42PQ,8,DE3,3-0-0,3,DE3,0,,,,,,,,,,,
102,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE42PQ,8,DE4,3-0-0,3,DE4,0,,,,,,,,,,,
103,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE42PQ,8,DE5,3-0-0,3,DE5,0,,,,,,,,,,,
104,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE4299,8,Project - 2,0-0-16,8,P2,0,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,
Aman Verma,,,,,,,,,,,,,,,,,,,,,
121,Department of Chemistry,,2401CT,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0,,,,,,,,,,,
122,Department of Chemistry,,2401CT,CS1101,1,Foundations of Programming ,3-0-3,4.5,Core,0,,,,,,,,,,,
123,Department of Chemistry,,2401CT,,1,Physics,3-1-3,5.5,Core,0,PH1101/PH1201,,,,,,,,,,
