Course Code,Course Name,LTP,Credit,Type
CB6101,Principles of Electrochemical Engineering,3-0-0,3.0,DE1
CB6102,Molecular Simulations: Principles & Applications,3-0-0,3.0,DE1
CB6103,Nucleation and Crystallization Phenomena,3-0-0,3.0,DE1
CB6104,Preparative Chromatography,3-0-0,3.0,DE1
CB6105,CO2 Capture and Utilization,3-0-0,3.0,DE1I
CB6106,Biological Wastewater Treatment,3-0-0,3.0,DE1I
CB6107,Principles of Polymer Processing,3-0-0,3.0,DE1I
CB6108,Artificial Intelligence in Chemical Engineering,3-0-0,3.0,DE1I
CB6201,Photoelectrochemical and Photocatalytic Processes,3-0-0,3.0,DE1II
CB6202,Colloids and Interfacial Engineering,3-0-0,3.0,DE1II
CB6203,"Climate Change, Sustainability, and Engineering",3-0-0,3.0,DE1II
CB6204,Advanced Numerical Methods in Chemical Engineering,3-0-0,3.0,DE1II
CB6205,Optimization for Chemical Engineers,3-0-0,3.0,DE1V
CB6206,Molecular Theory of Solutions,3-0-0,3.0,DE1V
CB6207,Non-Newtonian Fluid Dynamics and Rheology,3-0-0,3.0,DE1V
CB6208,Systematic Design of Chemical Processes,3-0-0,3.0,DE1V
CB6209,Design of Experiments for Chemical Engineers,3-0-0,3.0,DE1V
CE6101,Atmospheric Physics and Chemistry,3-0-0,3.0,DE1
CE6102,"Sampling,     Analytical     Methods,     and Statistics for Environmental Engineering",3-0-0,3.0,DE1
CE6103,Environmental    Toxicology    and    Risk Assessment,3-0-0,3.0,DE1
CE6104,Environmental Hydraulics,3-0-0,3.0,DE1
CE6105,Atmospheric Science and Climate Change,3-0-0,3.0,DE1
CE6109,Geoenvironmental Engineering,3-0-0,3.0,DE2
CE5117,Water Resources Management,3-0-0,3.0,DE2
CE6131,Sustainability of Water Resources System,3-0-0,3.0,DE2
CE6201,E-waste Management for Circular Economy,3-0-0,3.0,DE3
CE6202,Industrial Pollution Control and Prevention,3-0-0,3.0,DE3
CE6203,Water Supply and Sewerage Network Design,3-0-0,3.0,DE3
CE6204,Design of Water and Wastewater Treatment Facilities,3-0-0,3.0,DE3
CE6205,Advanced Water and Wastewater Engineering,3-0-0,3.0,DE3
CE5218,Groundwater Hydrology,3-0-0,3.0,DE4
CE5219,Open Channel Hydraulics,3-0-0,3.0,DE4
CE6232,Porous Media Flow: Advanced topics,3-0-0,3.0,DE4
CE6208,Mine Wastes Generation and Management,3-0-0,3.0,DE4
CE6211,Utilization of industrial Byproducts for geotechnical application,3-0-0,3.0,DE4
CE6228,Analytical Techniques for Infrastructure Systems Analysis,3-0-0,3.0,DE4
CE6112,Environmental Rock Engineering CE6113: Pavement Geotechnics,3-0-0,3.0,DE2
CE6125,Bituminous materials,3-0-0,3.0,DE2
CE6212, Rock Engineering for River Valley Projects,3-0-0,3.0,DE3
CE6214,Special Topics in Geotechnical Engineering,3-0-0,3.0,DE4
