2401EE,8,EE4202,DE3,0,,,130,,
2401EE,8,EE4203,DE3,0,,,130,,
2401EE,8,EE4204,DE4,0,,,130,,
2401EE,8,EE4205,DE4,0,,,130,,
2401EE,8,EE4206,DE4,0,,,130,,
2401EE,8,EC4205,DE5,0,,,130,,
2401EE,8,EC4206,DE5,0,,,130,,
2401EE,8,EC4207,DE5,0,,,130,,
2401MC,7,MA4111,DE1,0,,,130,,
2401MC,7,MA4112,DE1,0,,,130,,
2401MC,7,MA4113,DE1,0,,,130,,
2401MC,7,MA4114,DE2,0,,,130,,
2401MC,7,MA4115,DE2,0,,,130,,
2401MC,7,MA4116,DE2,0,,,130,,
2401MC,8,MA4211,DE3,0,,,130,,
2401MC,8,MA4212,DE3,0,,,130,,
2401MC,8,MA4213,DE3,0,,,130,,
2401MC,8,MA4214,DE3,0,,,130,,
2401MC,8,MA4215,DE3,0,,,130,,
2401MC,8,MA4215,DE4,0,,,130,,
2401MC,8,MA4216,DE4,0,,,130,,
2401MC,8,MA4217,DE4,0,,,130,,
2401MC,8,MA4218,DE4,0,,,130,,
2401MC,8,MA4220,DE5,0,,,130,,
2401MC,8,MA4221,DE5,0,,,130,,
2401MC,8,MA4222,DE5,0,,,130,,
2401MC,4,MA2251,IDE1,0,,,130,,
2401MC,4,MA2252,IDE1,0,,,130,,
2401MC,5,MA3151,IDE2,0,,,130,,
2401MC,5,MA3152,IDE2,0,,,130,,
2401MC,7,MA4151,IDE3,0,,,130,,
2401MC,7,MA4152,IDE3,0,,,130,,
2401ME,7,ME4101,DE1,0,,,130,,
2401ME,7,ME4102,DE1,0,,,130,,
2401ME,7,ME4104,DE1,0,,,130,,
2401ME,7,ME4105,DE2,0,,,130,,
2401ME,7,ME4106,DE2,0,,,130,,
2401ME,7,ME4107,DE2,0,,,130,,
2401ME,8,ME4201,DE3,0,,,130,,
2401ME,8,ME4202,DE3,0,,,130,,
2401ME,8,ME4203,DE3,0,,,130,,
2401ME,8,ME4204,DE4,0,,,130,,
2401ME,8,ME4205,DE4,0,,,130,,
2401ME,8,ME4206,DE4,0,,,130,,
2401ME,8,ME4207,DE5,0,,,130,,
2401ME,8,ME4208,DE5,0,,,130,,
2401ME,8,ME4209,DE5,0,,,130,,
2401ME,4,ME2205,IDE1,0,,,130,,
2401ME,5,ME3106,IDE2,0,,,130,,
2401ME,7,ME4103,IDE3,0,,,130,,
